id,tweet
1.58E+18,"@M45Broo_ Cebong benar2 panik luar biasa, ini baru di Jakarta.daerah2 lain semakin Menggeliat &amp; merajalela mendukung Pak Anies Baswedan https://t.co/wG8JVsK2Hr"
1.58E+18,@Relawananies https://t.co/uf5sE0iGLI
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,RT @aLy_Bima: Video ini hanya untuk orang yang belum tahu prestasi gubernur DKI jakarta bang anies baswedan � https://t.co/iO8tYUlXtu
1.58E+18,"RT @tempodotco: ""Tidak ringan permasalahan di Jakarta, sangat kompleks sekali. Tapi Bapak (Anies) bisa menyelesaikan,"" ujar Mendag Tito Kar…"
1.58E+18,"RT @tvOneNews: Forum Ka'bah Membangun, Siap Bawa Anies Baswedan Capres 2024 Pimpin Perubahan Indonesia https://t.co/RdTysPD6Iv"
1.58E+18,@Relawananies https://t.co/jjtnMhmJof
1.58E+18,"RT @MIlhamMukmin1: Tgl 30 Oktober silahkan merapat ke Yogyakarta......
https://t.co/OiJFAanvrP"
1.58E+18,"RT @OposisiCerdas: Anies Baswedan Tak Menyangka Ribuan masyarakat Jakarta Hadiri Momen Perpisahannya
https://t.co/yGqXN72Ab1"
1.58E+18,@alisyarief Nah harus gitu gonggongan mu njing Ali ..yg semangat ..ayoo njing semangat klu jdi anjing piaranku yaah
1.58E+18,Jika memang ini di lakukan untuk menjatuhkan pak abis baswedan...sungguh ini perbuatan iblis yg menyengsarakan manusia..Karena dampaknya menjadi bencana bagi bnyk orang.. https://t.co/u2Q1dj28Im
1.58E+18,"Ketum Partai Gerindra Prabowo Subianto memiliki elektabilitas tembus di angka 31,8% meninggalkan Gubernur Jawa Tengah Ganjar Pranowo 20,4% dan Gubernur DKI Jakarta Anies Baswedan 11,7%. Mending Prabowo https://t.co/Nw4XJqKOBj dekade08"
1.58E+18,"@aLy_Bima Tugu sepatu gmn kabar.
Pohon yg di tebang di monas udah di sehat kan blm"
1.58E+18,"RT @Mdy_Asmara1701: Anies Baswedan: Orang Baik Harus Mau Masuk Politik

#IndonesiaMemanggilAnies 
#AniesPresiden2024
https://t.co/FLcIk3lB08"
